pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8veb	J	K	0	C	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.97	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8ved	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E11 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.98	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8ved	G	I	0	C	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E11 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.98	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8ved	J	K	0	E	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E11 in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	2.98	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8vee	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with H7N9 Influenza Hemagglutinin Trimer (A/Shanghai/2/13)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Casner, R.G., Shapiro, L.	3.18	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vee	G	I	0	C	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with H7N9 Influenza Hemagglutinin Trimer (A/Shanghai/2/13)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Casner, R.G., Shapiro, L.	3.18	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vee	J	K	0	E	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 in complex with H7N9 Influenza Hemagglutinin Trimer (A/Shanghai/2/13)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Casner, R.G., Shapiro, L.	3.18	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vef	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 UCA (unmutated common ancestor) in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vef	J	K	0	C	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 UCA (unmutated common ancestor) in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vef	G	I	0	E	protein	NA	hemagglutinin	IMMUNE SYSTEM/VIRAL PROTEIN	03/19/25	Cryo-EM structure of antibody T5-1E08 UCA (unmutated common ancestor) in complex with stabilized H1N1 Influenza Hemagglutinin Trimer (A/Kiev/1/57)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Cerutti, G., Shapiro, L.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8vpf	M	N	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/19/25	Structure of SARS-CoV spike in complex with CoV1-65 Fab (NTD-bound)	Homo sapiens; Severe acute respiratory syndrome coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus	Bangaru, S., Ward, A.B.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
8vpf	D	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/19/25	Structure of SARS-CoV spike in complex with CoV1-65 Fab (NTD-bound)	Homo sapiens; Severe acute respiratory syndrome coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus	Bangaru, S., Ward, A.B.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
8vpf	E	G	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/19/25	Structure of SARS-CoV spike in complex with CoV1-65 Fab (NTD-bound)	Homo sapiens; Severe acute respiratory syndrome coronavirus	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus	Bangaru, S., Ward, A.B.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
9dpc	H	L	0	D	protein	NA	neuraminidase	IMMUNE SYSTEM	03/19/25	Structure of Fab 297 in complex with influenza H1N1 A/Victoria/4897/2022 neuraminidase	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Pholcharee, T., Wu, N.C.	2.65	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9dru	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Crystal structure of 04709_4F04 Fab in complex with H1 HA from A/California/04/2009(H1N1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Lin, T.H., Wilson, I.A.	2.75	X-RAY DIFFRACTION	0.265	0.212	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9ds1	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 chain | hemagglutinin ha1 chai	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Crystal structure of 241_2F04 Fab in complex with H1 HA from A/California/04/2009(H1N1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Lin, T.H., Wilson, I.A.	2.4	X-RAY DIFFRACTION	0.263	0.220	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9jhj	E	E	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	03/19/25	Cryo-EM structure of the C18:0 ceramide-bound FPR2-Gi complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Sun, J.P., Jiang, C.T., Kong, W., Yu, X., Cai, K., Guo, L.L.	3.2	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
9l6c	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Cryo-EM structure of Delta RBD complexed with ConD-852, P2C-1F11 and S304 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zheng, Z., Bing, J., Congcong, L., Bing, Z.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9l6c	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Cryo-EM structure of Delta RBD complexed with ConD-852, P2C-1F11 and S304 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zheng, Z., Bing, J., Congcong, L., Bing, Z.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
9l6c	D	F	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Cryo-EM structure of Delta RBD complexed with ConD-852, P2C-1F11 and S304 Fabs	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zheng, Z., Bing, J., Congcong, L., Bing, Z.	3.33	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
9mer	H	L	0	B	protein	NA	h1h5 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H5:FluA20 Chimeric Influenza HA Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2	X-RAY DIFFRACTION	0.215	0.206	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
9mev	H	L	0	B	protein	NA	h1h3 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H3:FluA20 Chimeric Antigen Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2.06	X-RAY DIFFRACTION	0.209	0.181	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8rmx	E	F	0	D	protein	NA	protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with DH patient-derived Fab DH63-A02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.803	X-RAY DIFFRACTION	0.250	0.205	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
8rmx	B	C	0	A	protein	NA	protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with DH patient-derived Fab DH63-A02	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.803	X-RAY DIFFRACTION	0.250	0.205	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
8rmy	E	F	0	D	protein	NA	protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with inhibitor Z-don and DH patient-derived Fab DH63-A02	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.9	X-RAY DIFFRACTION	0.243	0.195	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
8rmy	B	C	0	A	protein	NA	protein-glutamine gamma-glutamyltransferase e	TRANSFERASE	03/12/25	Transglutaminase 3 in complex with inhibitor Z-don and DH patient-derived Fab DH63-A02	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Heggelund, J.E., Sollid, L.M.	2.9	X-RAY DIFFRACTION	0.243	0.195	False	True	IGHV2	IGKV4	Kappa	None	None	None	None	None
8u1p	H	L	0	A	protein	NA	gametocyte surface protein p45/48	CELL INVASION/Immune System	03/12/25	Local refinement of Plasmodium falciparum gametocyte surface protein Pfs48/45 Domains 1 and 2 in complex with neutralizing antibodies	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Kucharska, I., Hailemariam, S., Ivanochko, D., Rubinstein, J., Julien, J.P.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
8u1p	B	C	0	A	protein	NA	gametocyte surface protein p45/48	CELL INVASION/Immune System	03/12/25	Local refinement of Plasmodium falciparum gametocyte surface protein Pfs48/45 Domains 1 and 2 in complex with neutralizing antibodies	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Kucharska, I., Hailemariam, S., Ivanochko, D., Rubinstein, J., Julien, J.P.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8yk4	A	A	0	C	protein	NA	spike protein s1	VIRAL PROTEIN	03/12/25	Structure of SARS-CoV-2 RBD and antibody NT-108	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Anraku, Y., Kita, S., Onodera, T., Sato, A., Tadokoro, T., Adachi, Y., Ito, S., Suzuki, T., Sasaki, J., Shiwa, N., Iwata, N., Nagata, N., Kazuki, Y., Oshimura, M., Sasaki, M., Orba, Y., Suzuki, T., Sawa, H., Hashiguchi, T., Fukuhara, H., Takahashi, Y., Maenaka, K.	3.2	X-RAY DIFFRACTION	0.267	0.243	True	True	unknown	unknown	unknown	None	None	None	None	None
8ykg	D	D	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/12/25	Structure of SARS-CoV-2 spike glycoprotein in complex with NT-108 scFv (1-up state)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Anraku, Y., Kita, S., Onodera, T., Tadokoro, T., Ito, S., Adachi, Y., Kotaki, R., Suzuki, T., Hashiguchi, T., Takahashi, Y., Maenaka, K.	3.28	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ykg	F	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/12/25	Structure of SARS-CoV-2 spike glycoprotein in complex with NT-108 scFv (1-up state)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Anraku, Y., Kita, S., Onodera, T., Tadokoro, T., Ito, S., Adachi, Y., Kotaki, R., Suzuki, T., Hashiguchi, T., Takahashi, Y., Maenaka, K.	3.28	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ykh	A	A	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/12/25	Structure of SARS-CoV-2 spike RBD in complex with NT-108 scFv	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Anraku, Y., Kita, S., Onodera, T., Tadokoro, T., Ito, S., Adachi, Y., Kotaki, R., Suzuki, T., Hashiguchi, T., Takahashi, Y., Maenaka, K.	3.27	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ykt	H	L	0	A	protein	NA	enterotoxin type b	PROTEIN BINDING/IMMUNE SYSTEM	03/12/25	Fab and SEB complex	Homo sapiens; Staphylococcus aureus	homo sapiens	homo sapiens	staphylococcus aureus	Zeng, H., Fan, H.Y.	2.04	X-RAY DIFFRACTION	0.230	0.195	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
9azr	H	L	0	E	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Lineage 860 UCA Fab bound to A/Massachusetts/1/1990 hemagglutinin head	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	2.3	X-RAY DIFFRACTION	0.270	0.229	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
9azt	H	L	0	E	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	CH67 Fab bound to A/Massachusetts/1/1990 influenza hemagglutinin head with a G189E mutation (1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	2.94	X-RAY DIFFRACTION	0.338	0.294	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
9azv	H	L	0	E	protein	NA	hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	CH67 Fab bound to A/Massachusetts/1/1990 influenza hemagglutinin head with a G189E mutation (2)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	3.16	X-RAY DIFFRACTION	0.287	0.237	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
9bjg	H	L	0	A	protein	NA	apical membrane antigen 1	STRUCTURAL PROTEIN	03/12/25	Crystal structure of broadly neutralizing human monoclonal antibody 75B10 in complex with AMA1	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Patel, P.N., Tang, W.K., Tolia, N.H.	2.9	X-RAY DIFFRACTION	0.232	0.199	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
9bjh	H	L	0	A	protein	NA	apical membrane antigen 1	STRUCTURAL PROTEIN	03/12/25	Crystal structure of neutralizing human monoclonal antibody 75C8 in complex with AMA1 DI-DII	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Patel, P.N., Tang, W.K., Tolia, N.H.	2.8	X-RAY DIFFRACTION	0.253	0.211	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
9bjh	I	M	0	B	protein	NA	apical membrane antigen 1	STRUCTURAL PROTEIN	03/12/25	Crystal structure of neutralizing human monoclonal antibody 75C8 in complex with AMA1 DI-DII	Homo sapiens; Plasmodium falciparum 3D7	homo sapiens	homo sapiens	plasmodium falciparum 3d7	Patel, P.N., Tang, W.K., Tolia, N.H.	2.8	X-RAY DIFFRACTION	0.253	0.211	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
9cci	B	C	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Bajic, G., Jaiswal, D.	2.65	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
9ccj	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Bajic, G., Civljak, A.	2.37	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
9j66	B	C	0	A | D	protein | protein	NA | NA	spike protein s1 | spike protein s1	VIRAL PROTEIN	03/12/25	Cryo-EM structure of the SARS-CoV-2 S 6P trimer in complex with the human neutralizing antibody Fab fragment CAV-C65 (local refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2  | severe acute respiratory syndrome coronavirus2 	Jing, X., Chen, Y., Gong, P.	3.55	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9knw	C	NA	0	B	protein	NA	mitochondrial pyruvate carrier 2	PROTEIN TRANSPORT	03/12/25	Cryo-EM structure of apo human mitochondrial pyruvate carrier in the IMS-open conformation at pH 6.8	Homo sapiens	homo sapiens		homo sapiens	Shi, J.H., Liang, J.M., Ma, D.	3.41	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
9knx	C	NA	0	B	protein	NA	mitochondrial pyruvate carrier 2	PROTEIN TRANSPORT	03/12/25	Cryo-EM structure of human mitochondrial pyruvate carrier in the occluded conformation at pH 6.8	Homo sapiens	homo sapiens		homo sapiens	Shi, J.H., Liang, J.M., Ma, D.	3.72	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
9kny	C	NA	0	B	protein	NA	mitochondrial pyruvate carrier 2	PROTEIN TRANSPORT	03/12/25	Cryo-EM structure of pyruvate-treated human mitochondrial pyruvate carrier in the IMS-open conformation at pH 8.0	Homo sapiens	homo sapiens		homo sapiens	Shi, J.H., Liang, J.M., Ma, D.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
9bj2	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1533 (local refinement of NTD and C1533)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
9bj3	C	D	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1596	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
9bj3	E	F	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1596	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
9bj3	H	L	0	S	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1596	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.04	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
9bj4	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C952	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
9bj4	D	E	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C952	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
