pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	species
9azt	H	L	0	E	protein		hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	CH67 Fab bound to A/Massachusetts/1/1990 influenza hemagglutinin head with a G189E mutation (1)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	2.94	X-RAY DIFFRACTION	0.338	0.294	False	True	IGHV1	IGLV3	Lambda						Influensa A
9azv	H	L	0	E	protein		hemagglutinin ha1 chain	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	CH67 Fab bound to A/Massachusetts/1/1990 influenza hemagglutinin head with a G189E mutation (2)	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Maurer, D.P., Schmidt, A.G.	3.16	X-RAY DIFFRACTION	0.287	0.237	False	True	IGHV1	IGLV3	Lambda						Influensa A
9cci	B	C	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Bajic, G., Jaiswal, D.	2.65	ELECTRON MICROSCOPY			False	True	IGHV5	IGKV1	Kappa						SARS-CoV-2
9ccj	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/12/25	Dissecting human monoclonal antibody responses from mRNA and protein-based booster vaccinations against XBB1.5 SARS-CoV-2	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Bajic, G., Civljak, A.	2.37	ELECTRON MICROSCOPY			False	True	IGHV4	IGLV3	Lambda						SARS-CoV-2
9bj2	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1533 (local refinement of NTD and C1533)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	2.8	ELECTRON MICROSCOPY			False	True	IGHV1	IGLV1	Lambda						SARS-CoV-2
9bj3	C	D	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/05/25	Structure of the SARS-CoV-2 S 6P trimer complex with the human neutralizing antibody Fab fragment, C1596	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rubio, A.A., Abernathy, M.E., Barnes, C.O.	3.04	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
8z6r	E	D	0	A	protein		spike glycoprotein,fibritin,spike glycoprotein,fibritin,spike glycoprotein,fibritin,expression tag 	VIRAL PROTEIN/IMMUNE SYSTEM	01/29/25	Structure of XBB.1.16 S trimer with 3 down-RBDs complex with antibody CYFN1006-1.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct 	Wang, Y.J., Sun, L.	2.87	ELECTRON MICROSCOPY			False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
8z6s	E	D	0	A	protein		spike glycoprotein,fibritin,expression tag	VIRAL PROTEIN/IMMUNE SYSTEM	02/12/25	Structure of XBB.1.16 S trimer with 2 down-RBDs complex with antibody CYFN1006-1.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct 	Wang, Y.J., Sun, L.	2.84	ELECTRON MICROSCOPY			False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
8z6t	B	C	0	A	protein		spike glycoprotein,fibritin,expression tag	VIRAL PROTEIN/IMMUNE SYSTEM	01/29/25	Structure of XBB.1.16 RBD in complex with antibody CYFN1006-1.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct 	Wang, Y.J., Sun, L.	2.92	ELECTRON MICROSCOPY			False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
8z6w	G	J	0	C	protein		spike glycoprotein,fibritin,expression tag	VIRAL PROTEIN/IMMUNE SYSTEM	02/12/25	Structure of EG.5.1 S trimer with 3 down-RBDs complex with antibody CYFN1006-2.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct 	Wang, Y.J., Sun, L.	3.04	ELECTRON MICROSCOPY			False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
8z6x	B	C	0	A	protein		spike glycoprotein,fibritin,expression tag	VIRAL PROTEIN/IMMUNE SYSTEM	01/29/25	Structure of EG.5.1 RBD in complex with antibody CYFN1006-2.	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; synthetic construct; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4, synthetic construct 	Wang, Y.J., Sun, L.	2.96	ELECTRON MICROSCOPY			False	True	IGHV5	IGLV2	Lambda						SARS-CoV-2
8znz	F	E	0	A	protein		5'-nucleotidase	IMMUNE SYSTEM	02/05/25	CD73 bound with HB0045	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Xu, J., Wan, L., He, Y.	3.06	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
9avo	B	D	0	A	protein		histone chaperone asf1	IMMUNE SYSTEM/Chaperone	02/05/25	The crystal structure of an engineered Protein GD with Human Kappa Fab	Homo sapiens; Streptococcus sp. 'group G'	homo sapiens	homo sapiens	homo sapiens	Slezak, T., Kossiakoff, A.A.	3.0	X-RAY DIFFRACTION	0.241	0.215	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
9awe	B	D	0	A	protein		histone chaperone asf1	IMMUNE SYSTEM	02/05/25	The crystal structure of an engineered Protein GF with Human Kappa Fab	Homo sapiens; Streptococcus sp. 'group G'	homo sapiens	homo sapiens	homo sapiens	Slezak, T., Kossiakoff, A.A.	2.8	X-RAY DIFFRACTION	0.293	0.25	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
9dq3	H	L	0	C	protein		cytotoxic t-lymphocyte protein 4	ANTITUMOR PROTEIN/IMMUNE SYSTEM	02/05/25	Crystal structure of engineered Ipilimumab (mipi.4) Fab in complex with human CTLA-4	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Diong, S.J., Lee, P.S.	1.64	X-RAY DIFFRACTION	0.268	0.232	False	True	IGHV3	IGKV3	Kappa						Homo Sapiens
9gox	H	L	0	A	protein		adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1	IMMUNE SYSTEM	02/12/25	Crystal structure of Fab B6-D9 in complex with CD38	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Dreyfus, C., Freier, R.	1.84	X-RAY DIFFRACTION	0.208	0.174	False	True	IGHV1	IGKV3	Kappa						Homo Sapiens
9goy	H	L	0	A	protein		adp-ribosyl cyclase/cyclic adp-ribose hydrolase 1	IMMUNE SYSTEM	02/12/25	Crystal structure of Fab E2-RecA in complex with CD38	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Dreyfus, C., Fritz, G.	2.7	X-RAY DIFFRACTION	0.279	0.243	False	True	IGHV1	IGKV3	Kappa						Homo Sapiens
8zr4	A	B	0	D	protein		neuraminidase	VIRAL PROTEIN/IMMUNE SYSTEM	01/01/25	Cryo-EM structure of the N2-4N2C402 complex at a resolution of 1.9 angstrom	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Chu, B.X., Wang, X., Yang, Q., Wu, X.D., Zhang, Z.L.	1.9	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV2	Kappa						Influensa A
9l1s	C	B	0	A	protein		receptor tyrosine-protein kinase erbb-2	IMMUNE SYSTEM	01/01/25	Structure of the HER2 (S310F) - pertuzumab (T30S/D31A) complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Xu, L., Guo, J.	3.0	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
8t6m	B	A	0	E	protein		mhc class i antigen	IMMUNE SYSTEM	12/25/24	Human leukocyte antigen bound by two alloreactive antibody Fabs	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kizziah, J.L., Killian, J.T., Diaz-Avalos, R., Qiu, S., Yang, G., Green, T., Lund, F.E.	3.14	ELECTRON MICROSCOPY			False	True	IGHV2	IGKV1	Kappa						Homo Sapiens
8ume	H	L	0	C	protein		hemagglutinin	VIRAL PROTEIN	12/25/24	Influenza A virus Hemagglutinin H5/Vietnam/1204/2004 in complex with D04 Fab	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Ferreira Ramos, A.S., Bajic, G.	3.1	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV4	Kappa						Influensa A
8s6z	A	B	0	C	protein		t-cell-specific surface glycoprotein cd28	IMMUNE SYSTEM	12/18/24	CD28 in complex with the antibody Fab fragment AI3	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Majocchi, S., Giovanni, M., Malinge, P., Fischer, N., Svensson, L.A., Kelpsas, V., Rose, N.C.	3.05	X-RAY DIFFRACTION	0.258	0.198	False	True	IGHV3	IGKV4	Kappa						Homo Sapiens
8v9d	K	L	0	C	protein		aquaporin-4	TRANSPORT PROTEIN/IMMUNE SYSTEM	12/11/24	Structure of human AQP4 with a pathogenic autoantibody - rAB 186	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Gupta, M., Khandelwal, N.K., Stroud, R.M.	2.9	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV3	Kappa						Homo Sapiens
8v5v	b	d	0	E	protein		variable domain of the light chain from the human antibody6c10 	VIRAL PROTEIN	12/18/24	Structure of a SARS-CoV-2 spike S2 subunit in a pre-fusion, open conformation	Homo sapiens; Severe acute respiratory syndrome coronavirus 2; Tequatrovirus T4	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, tequatrovirus t4 	Olmedillas, E., Diaz, R., Hastie, K., Ollmann-Saphire, E.	2.93	ELECTRON MICROSCOPY			False	False	IGHV1	IGKV3	Kappa						SARS-CoV-2
8vc7	J	D	0	C	protein		butyrophilin subfamily 2 member a1	SIGNALING PROTEIN	12/18/24	Crystal Structure of Human BTN2A1 ectodomain in complex with Antagonist 2A1.9 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Ramesh, A., Roy, S., Adams, E.	2.76	X-RAY DIFFRACTION	0.261	0.218	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
9ekf	D	I	0	B	protein		hemagglutinin	VIRAL PROTEIN	12/18/24	CryoEM structure of H5N1 A/Texas/37/2024 HA bound to Fab 65C6 and an auto glycan occupying the receptor-binding site	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Morano, N.C., Shapiro, L., Kwong, P.D.	2.68	ELECTRON MICROSCOPY			False	True	IGHV5	IGKV3	Kappa						Influensa A
8y31	B	A	0	E	protein		interferon alpha/beta receptor 1	IMMUNE SYSTEM	12/04/24	The crystal structure of the QX006N-Fab/IFNAR1-SD123 complex	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Li, W., Feng, W.	2.68	X-RAY DIFFRACTION	0.239	0.194	False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
9dh2	A	D	0	R	protein		nkg2-d type ii integral membrane protein	IMMUNE SYSTEM	12/04/24	Structure of Fab in complex with NKG2D extracellular domain	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Fallon, D., Huang, C.S.	2.98	X-RAY DIFFRACTION	0.243	0.197	False	True	IGHV1	IGKV1	Kappa						Homo Sapiens
9dwe	H	L	0	C	protein		hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	12/04/24	Cryo-EM structure of hemagglutinin H5 A/Texas/37/2024 in complex with LSTa and antibody CR9114	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Fernandez-Quintero, M.L., Han, J., Rodriguez, A.J., Ward, A.B.	2.8	ELECTRON MICROSCOPY			False	True	IGHV1	IGLV1	Lambda						Influensa A
9c44	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN	11/20/24	SARS-CoV-2 S + S2L20	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	2.6	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
9c45	H	L	0	A	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	11/20/24	SARS-CoV-2 S + S2L20 (local refinement of NTD and S2L20 Fab variable region)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	McCallum, M., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.2	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						SARS-CoV-2
9e6k	H	L	0	C	protein		disintegrin and metalloproteinase domain-containing protein17 	ANTITUMOR PROTEIN/IMMUNE SYSTEM	11/20/24	Fully human monoclonal antibody targeting the cysteine-rich substrate-interacting region of ADAM17 on cancer cells.	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Saha, N., De La Cruz, M.J., Goldgur, Y., Nikolov, D.B.	3.15	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV3	Kappa						Homo Sapiens
8wyj	Q	R	0	B	protein		spike glycoprotein	VIRAL PROTEIN	11/13/24	The global map of Omicron Subvariants Spike with two antibodies	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yan, R.H., Wang, A.J., Yang, H.N.	3.1	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV1	Kappa						SARS-CoV-2
9bdf	B	I	0	H	protein		hemagglutinin	VIRAL PROTEIN	11/13/24	Influenza A virus Hemagglutinin H3/Darwin/6/2021 in complex with Fab ADI-85666	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Ferreira Ramos, A.S., Bajic, G.	3.01	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Influensa A
9bdg	D	G	0	B	protein		hemagglutinin	VIRAL PROTEIN	11/13/24	Influenza A virus Hemagglutinin H3/Darwin/6/2021 in complex with Fab ADI-85647	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Ferreira Ramos, A.S., Bajic, G.	3.01	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Influensa A
8vgn	A	B	0	I	protein		b-lymphocyte antigen cd20	MEMBRANE PROTEIN/IMMUNE SYSTEM	11/06/24	CryoEM structure of CD20 in complex with wild type Rituximab Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Jao, C.C., Arthur, C.P., Sudhamsu, J.	2.5	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV4	Kappa						Homo Sapiens
8vgo	A	B	0	I	protein		b-lymphocyte antigen cd20	MEMBRANE PROTEIN/IMMUNE SYSTEM	11/06/24	CryoEM structure of CD20 in complex with engineered conformationally rigid Rituximab.4DS Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Jao, C.C., Arthur, C.P., Sudhamsu, J.	2.6	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV4	Kappa						Homo Sapiens
8ywq	H	L	0	A	protein		interleukin-6	IMMUNE SYSTEM	11/06/24	Crystal structure of the Fab fragment of the anti-IL-6 antibody I9H in complex with a domain-swapped IL-6 dimer	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Bukhdruker, S., Yudenko, A., Marin, E., Remeeva, A., Rodin, S., Burtseva, A., Petrov, A., Ischenko, A., Borshchevskiy, V.	2.51	X-RAY DIFFRACTION	0.277	0.239	False	True	IGHV2	IGKV1	Kappa						Homo Sapiens
8vgh	H	G	0	A	protein		tryptase alpha/beta-1	HYDROLASE/IMMUNE SYSTEM	10/30/24	CryoEM structure of tryptase in complex with wild type anti-tryptase Fab E104.v1	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Johnson, M.C., Sudhamsu, J.	2.9	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
8vgi	F	E	0	C	protein		tryptase alpha/beta-1	HYDROLASE/IMMUNE SYSTEM	10/30/24	CryoEM structure of tryptase in complex with engineered conformationally rigid anti-tryptase Fab E104.v1.2DS	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Johnson, M.C., Sudhamsu, J.	2.7	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
8vgj	F	E	0	C	protein		tryptase alpha/beta-1	HYDROLASE/IMMUNE SYSTEM	10/30/24	CryoEM structure of tryptase in complex with engineered conformationally rigid anti-tryptase Fab E104.v1.4DS	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Johnson, M.C., Sudhamsu, J.	2.5	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
8vgk	F	E	0	C	protein		tryptase alpha/beta-1	HYDROLASE/IMMUNE SYSTEM	10/30/24	CryoEM structure of tryptase in complex with engineered conformationally rigid anti-tryptase Fab E104.v1.6DS	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Johnson, M.C., Sudhamsu, J.	2.4	ELECTRON MICROSCOPY			False	True	IGHV4	IGKV1	Kappa						Homo Sapiens
8vgp	H	L	0	A	protein		angiopoietin-2	CYTOKINE/IMMUNE SYSTEM	10/30/24	CryoEM structure of Angiopoietin-2 in complex with engineered conformationally rigid Fab 5A12.6DS	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Kung, J.E., Sudhamsu, J.	2.7	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
8s6m	H	L	0	R	protein		spike protein s1	VIRAL PROTEIN	10/23/24	SARS-CoV-2 BQ.1.1 RBD bound to the S2V29 and the S2H97 Fab fragments	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Errico, J.M., Park, Y.J., Rietz, T., Czudnochowski, N., Nix, J.C., Cameroni, E., Corti, D., Snell, G., Marco, A.D., Pinto, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	1.67	X-RAY DIFFRACTION	0.203	0.184	False	True	IGHV3	IGLV2	Lambda						SARS-CoV-2
9gwt	H	L	0	P	protein		isoform 1 of cell surface glycoprotein cd200 receptor 1	ANTITUMOR PROTEIN	10/23/24	crystal structure of 23ME-00610 Fab in complex with human CD200R1	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Huang, Y.M., Ganichkin, O.M.	2.89	X-RAY DIFFRACTION	0.236	0.202	False	True	IGHV4	IGKV3	Kappa						Homo Sapiens
9au2	D	I	0	C	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	10/16/24	VIR-7229 Fab fragment bound the BA.2.86 spike trimer (global refinement)	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Tortorici, M.A., Park, Y.J., Veelser, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.1	ELECTRON MICROSCOPY			False	True	IGHV3	IGLV2	Lambda						SARS-CoV-2
8wpw	A	B	0	R	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	10/16/24	Cryo-EM structure of SARS-CoV-2 XBB.1.5 receptor-binding domain (RBD) complexed with CB6 mutant,S309, and S304 antibodies	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Su, C., Qi, J.X., Gao, G.F.	2.49	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
8wpy	A	B	0	R	protein		spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	10/16/24	Cryo-EM structure of SARS-CoV-2 receptor-binding domain (RBD) complexed with CB6 mutant,S309, and S304 antibodies	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Su, C., Qi, J.X., Gao, G.F.	3.02	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
9atm	H	L	0	R	protein		sars-cov-2 eg.5 rbd	VIRAL PROTEIN	10/16/24	SARS-CoV-2 EG.5 RBD bound to the VIR-7229 and the S2H97 Fab fragments	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rietz, T., Park, Y.J., Errico, J., Czudnochowski, N., Nix, J.C., Corti, D., Snell, G., Marco, A.D., Pinto, D., Cameroni, E., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	1.9	X-RAY DIFFRACTION	0.227	0.194	False	True	IGHV3	IGLV2	Lambda						SARS-CoV-2
9au1	M	N	0	R	protein		sars-cov-2 xbb.1.5 rbd	VIRAL PROTEIN	10/16/24	SARS-CoV-2 XBB.1.5 RBD bound to the VIR-7229 and the S309 Fab fragments	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Rietz, T., Park, Y.J., Errico, J., Czudnochowski, N., Nix, J.C., Corti, D., Snell, G., Marco, A.D., Pinto, D., Cameroni, E., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D., Structural Genomics Consortium (SGC)	2.41	X-RAY DIFFRACTION	0.257	0.227	False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
8vqd	C	B	0	A	protein		receptor tyrosine-protein kinase erbb-2/higg1 fc domainfusion 	SIGNALING PROTEIN	10/09/24	HER2 S310F in complex with TL1 Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Bang, I., Koide, S.	2.61	ELECTRON MICROSCOPY			False	True	IGHV3	IGKV1	Kappa						Homo Sapiens
8keh	G	F	0	B	protein		spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	09/04/24	State 2 of SARS-CoV-2 XBB Variant Spike protein trimer complexed with antibody PW5-5	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Sun, L., Mao, Q., Wang, Y.	3.21	ELECTRON MICROSCOPY			False	True	IGHV1	IGKV3	Kappa						SARS-CoV-2
